tick,event,x,y
151389,mined,11,28
151426,mined,9,28
151464,mined,7,28
151493,build,38,18
151501,mined,5,28
151523,build,36,18
151539,mined,3,28
151577,mined,1,28
151723,build,35.5,16.5
151732,build,19,27
151745,build,17,27
151759,build,15,27
151772,build,13,27
151786,build,11,27
151799,build,9,27
151813,build,7,27
151826,build,5,27
151840,build,3,27
152136,build,23.5,24.5
152140,build,22.5,24.5
152146,build,21.5,24.5
152152,build,20.5,24.5
152159,build,19.5,24.5
152166,build,18.5,24.5
152172,build,17.5,24.5
152179,build,16.5,24.5
152186,build,15.5,24.5
152193,build,14.5,24.5
152199,build,13.5,24.5
152206,build,12.5,24.5
152213,build,11.5,24.5
152220,build,10.5,24.5
152226,build,9.5,24.5
152233,build,8.5,24.5
152240,build,7.5,24.5
152565,build,36.5,19.5
152585,build,37.5,19.5
152613,build,20.5,25.5
152618,build,19.5,25.5
152675,build,16.5,25.5
152680,build,15.5,25.5
152742,build,12.5,25.5
152748,build,11.5,25.5
152818,build,7.5,25.5
152873,build,8.5,25.5
152987,build,4.5,25.5
152992,build,3.5,25.5
153067,build,6.5,24.5
153069,build,5.5,24.5
153071,build,4.5,24.5
153110,build,3.5,24.5
153668,build,20.5,28.5
153856,build,22.5,29.5
153858,build,21.5,29.5
153860,build,20.5,29.5
153861,build,19.5,29.5
153862,build,18.5,29.5
153864,build,17.5,29.5
153865,build,16.5,29.5
153866,build,15.5,29.5
153867,build,14.5,29.5
153870,build,13.5,29.5
153876,build,12.5,29.5
153881,build,11.5,29.5
153887,build,10.5,29.5
153892,build,9.5,29.5
153895,build,8.5,29.5
153898,build,7.5,29.5
153904,build,6.5,29.5
153909,build,5.5,29.5
153916,build,4.5,29.5
153922,build,3.5,29.5
154938,build,19.5,28.5
154992,build,16.5,28.5
155001,build,15.5,28.5
155365,build,12.5,28.5
155371,build,11.5,28.5
155413,build,9.5,28.5
155454,mined,9.5,28.5
155483,build,8.5,28.5
155492,build,7.5,28.5
155540,build,4.5,28.5
155547,build,3.5,28.5
155813,mined,34.5,-9.5
155813,build,34.5,-9.5
155842,build,34.5,-10.5
155871,build,35.5,-10.5
157470,mined,35.5,-10.5
157504,mined,34.5,-10.5
157866,mined,34.5,-9.5
157866,build,34.5,-9.5
157893,build,34.5,-10.5
157931,build,35.5,-10.5
158016,mined,34.5,-10.5
158763,build,33,-1
158801,build,33,1
158846,build,33,3
159015,build,38,1
159048,build,38,-1
159160,build,36.5,-0.5
159202,build,36.5,1.5
159317,build,34.5,2.5
159404,build,34.5,0.5
159440,build,34.5,-1.5
159814,build,36.5,-1.5
160317,build,36.5,0.5
160373,build,34.5,1.5
160394,build,34.5,-0.5
160872,build,38,-11
160947,build,33,-11
161108,build,35.5,-11.5
161113,build,35.5,-12.5
161341,build,-40.5,-26.5
161481,build,-39.5,-26.5
162626,mined,70.5,21.5
162626,build,70.5,21.5
162664,build,70.5,20.5
162912,build,71.5,20.5
162991,build,71.5,22.5
163022,mined,71.5,22.5
163022,build,71.5,22.5
163517,build,23.5,29.5
163718,build,24.5,29.5
164131,build,36.5,-11.5
164226,build,34.5,-10.5
164330,build,34.5,-11.5
164419,build,36.5,-10.5
164939,build,34.5,3.5
166469,build,104.5,29.5
166487,build,107.5,29.5
166507,build,110.5,29.5
166562,mined,107.5,29.5
166599,mined,110.5,29.5
166656,build,108.5,29.5
166726,build,112.5,29.5
166866,mined,119.4375,29.875
166923,build,116.5,29.5
167178,build,102.5,30.5
167209,build,106.5,30.5
167242,build,110.5,30.5
167292,build,114.5,30.5
167453,build,94.5,32.5
167470,build,94.5,35.5
167488,build,94.5,38.5
167507,build,94.5,41.5
167526,build,94.5,44.5
167543,build,94.5,47.5
167713,mined,91.9375,47
167842,build,91.5,32.5
167848,build,91.5,33.5
167852,build,91.5,34.5
167856,build,91.5,35.5
167861,build,91.5,36.5
167866,build,91.5,37.5
167870,build,91.5,38.5
167875,build,91.5,39.5
167880,build,91.5,40.5
167885,build,91.5,41.5
167891,build,91.5,42.5
167897,build,91.5,43.5
167903,build,91.5,44.5
167909,build,91.5,45.5
167916,build,91.5,46.5
168067,build,97.5,46.5
168074,build,97.5,45.5
168078,build,97.5,44.5
168081,build,97.5,43.5
168084,build,97.5,42.5
168088,build,97.5,41.5
168093,build,97.5,40.5
168097,build,97.5,39.5
168102,build,97.5,38.5
168107,build,97.5,37.5
168111,build,97.5,36.5
168114,build,97.5,35.5
168117,build,97.5,34.5
168120,build,97.5,33.5
168124,build,97.5,32.5
168130,build,97.5,31.5
168276,build,96.5,31.5
168404,build,96.5,36.5
168409,build,96.5,37.5
168471,build,96.5,42.5
168476,build,96.5,43.5
168575,build,96.5,46.5
168623,mined,96.5,46.5
168659,build,96.5,48.5
168712,build,97.5,47.5
168715,build,97.5,48.5
168838,build,92.5,48.5
168896,build,91.5,47.5
168901,build,91.5,48.5
169057,build,92.5,42.5
169062,build,92.5,43.5
169139,build,92.5,36.5
169144,build,92.5,37.5
169267,build,92.5,31.5
169573,build,91.5,29.5
169575,build,91.5,28.5
169576,build,91.5,27.5
169578,build,91.5,26.5
169580,build,91.5,25.5
169832,build,83.5,25.5
169910,build,87.5,25.5
169914,build,88.5,25.5
169916,build,89.5,25.5
169941,build,90.5,25.5
170034,build,91.5,24.5
170205,build,84.5,25.5
170229,build,86.5,25.5
170896,mined,82.5,24.5
170896,build,83,24.5
172314,mined,24.5,29.5
172346,mined,23.5,29.5
172423,build,23.5,29.5
172428,build,24.5,29.5
172643,build,25.5,29.5
172686,build,25.5,30.5
172736,mined,25.5,30.5
172736,build,25.5,30.5
172741,build,26.5,30.5
172744,build,27.5,30.5
172748,build,28.5,30.5
172751,build,29.5,30.5
172757,build,30.5,30.5
172764,build,31.5,30.5
172771,build,32.5,30.5
172778,build,33.5,30.5
172784,build,34.5,30.5
172791,build,35.5,30.5
172798,build,36.5,30.5
172804,build,37.5,30.5
172811,build,38.5,30.5
172818,build,39.5,30.5
172825,build,40.5,30.5
172831,build,41.5,30.5
172838,build,42.5,30.5
172845,build,43.5,30.5
172852,build,44.5,30.5
172858,build,45.5,30.5
172865,build,46.5,30.5
172872,build,47.5,30.5
172879,build,48.5,30.5
172885,build,49.5,30.5
172892,build,50.5,30.5
172899,build,51.5,30.5
172906,build,52.5,30.5
172912,build,53.5,30.5
172919,build,54.5,30.5
172926,build,55.5,30.5
172932,build,56.5,30.5
172939,build,57.5,30.5
172946,build,58.5,30.5
172953,build,59.5,30.5
172959,build,60.5,30.5
173092,mined,60.5,30.5
173106,mined,59.5,30.5
173124,mined,58.5,30.5
173143,mined,57.5,30.5
173244,build,57.5,30.5
173251,build,57.5,29.5
173253,build,57.5,28.5
173254,build,57.5,27.5
173257,build,57.5,26.5
173263,build,57.5,25.5
173269,build,57.5,24.5
173274,build,57.5,23.5
173305,build,57.5,22.5
173410,mined,57.5,22.5
173442,mined,57.5,25.5
173490,mined,57.5,23.5
173513,mined,57.5,24.5
173580,build,57.5,25.5
173585,build,57.5,24.5
173597,build,57.5,23.5
173643,mined,57.5,23.5
173643,build,57.5,23.5
173643,build,58.5,23.5
173643,build,59.5,23.5
173643,build,60.5,23.5
173643,build,61.5,23.5
173643,build,62.5,23.5
173643,build,63.5,23.5
173643,build,64.5,23.5
173680,build,65.5,23.5
173685,build,66.5,23.5
173692,build,67.5,23.5
173698,build,68.5,23.5
173914,build,69.5,23.5
173919,build,70.5,23.5
173921,build,71.5,23.5
173925,build,72.5,23.5
173931,build,73.5,23.5
174026,build,74.5,23.5
174032,build,75.5,23.5
174034,build,76.5,23.5
174038,build,77.5,23.5
174051,build,78.5,23.5
174053,build,79.5,23.5
174209,mined,79.5,23.5
174209,build,79.5,23.5
174209,build,79.5,24.5
174209,build,79.5,25.5
174209,build,79.5,26.5
174209,build,79.5,27.5
174209,build,79.5,28.5
174350,mined,79.5,28.5
174383,mined,79.5,27.5
174414,mined,79.5,26.5
174430,mined,79.5,25.5
174455,mined,79.5,24.5
174567,mined,79.5,23.5
174567,build,79.5,23.5
174605,build,80.5,23.5
174971,build,81.5,23.5
175029,build,86.5,23.5
175613,build,93.5,23.5
175660,mined,93.5,23.5
175660,build,93.5,23.5
175710,build,93.5,24.5
175725,build,92.5,24.5
175783,build,87.5,23.5
175786,build,88.5,23.5
175788,build,89.5,23.5
175789,build,90.5,23.5
175790,build,91.5,23.5
175791,build,92.5,23.5
175837,build,90.5,24.5
176387,mined,91.5,24.5
176389,mined,92.5,24.5
176439,mined,90.5,24.5
176544,build,93.5,25.5
176582,build,92.5,25.5
176658,build,91.5,24.5
176690,mined,93.5,25.5
180030,mined,90.5,25.5
180059,mined,89.5,25.5
180078,mined,88.5,25.5
180478,mined,92.5,25.5
180543,build,91.5,22.5
180589,mined,91.5,23.5
180589,build,91.5,23.5
180644,mined,92.5,23.5
180659,mined,93.5,23.5
180672,mined,93.5,24.5
181018,mined,83,24.5
181048,mined,83.5,25.5
181069,mined,84.5,25.5
181114,mined,86.5,25.5
